127.0.0.1 - - [17/Apr/2024:09:05:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:05:10 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:05:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:06:52 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:12:21 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:12:32 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:13:48 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:18 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:20 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:29 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:34 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:43 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:14:55 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:15:21 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:15:21 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:15:31 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [17/Apr/2024:09:16:02 +0900] "GET /webproject/0_day3/1.html HTTP/1.1" 200 605
